work_name,mtype,images
DM212,H5,"['DM212-2.jpg', 'DM212-3.jpg', 'DM212.jpg']"
G015,,['G015.jpg']
GA052,H6,"['GA052-2.jpg', 'GA052.jpg']"
GA053,H5,['GA053.jpg']
GA069,H5,['GA069.jpg']
GA208,H5,"['GA208-2.jpg', 'GA208-3.jpg', 'GA208-4.jpg', 'GA208.jpg']"
GA215,H5-6,"['GA215-2.jpg', 'GA215-3.jpg', 'GA215-4.jpg', 'GA215.jpg']"
GA223,H6,"['GA223-2.jpg', 'GA223-2_H6.jpg', 'GA223-3.jpg', 'GA223-4.jpg', 'GA223.jpg', 'GA223_H6.jpg']"
GA229,H5,"['GA229-2.jpg', 'GA229.jpg']"
GA242,H6,"['GA242-2.jpg', 'GA242-2_H6.jpg', 'GA242-3.jpg', 'GA242-4.jpg', 'GA242-H6.jpg', 'GA242.jpg']"
GA301,H5,"['GA301-2.jpg', 'GA301-3.jpg', 'GA301-4.jpg', 'GA301.jpg']"
GA305,L6,"['GA305-2.jpg', 'GA305-3.jpg', 'GA305-4.jpg', 'GA305-5.jpg', 'GA305-6.jpg', 'GA305.jpg']"
GA310,H5,"['GA310-2.jpg', 'GA310.jpg']"
GA313,H6,"['GA313-2.jpg', 'GA313-3.jpg', 'GA313-4.jpg', 'GA313.jpg']"
GA316,H5,"['GA316-2.jpg', 'GA316-3.jpg', 'GA316.jpg']"
GA320,H5,"['GA320-2.jpg', 'GA320-3.jpg', 'GA320-4.jpg', 'GA320.jpg']"
GB005,LL6,['GB005.jpg']
GB033,H5,"['GB033-2.jpg', 'GB033-3.jpg', 'GB033.jpg']"
GB044,H5,['GB044.jpg']
GB062,H5,"['GB062-2.jpg', 'GB062-3.jpg', 'GB062-4.jpg', 'GB062.jpg']"
GB079,LL5,['GB079-LL.jpg']
GB092,L6,"['GB092-T6-2.jpg', 'GB092-T6.jpg']"
GB107,H5,"['GB107-2.jpg', 'GB107-T5-2.jpg', 'GB107.jpg']"
